序号,招聘信息ID,企业名称,企业类型,招聘岗位,薪资范围,招募类型,期望学历,工作年数,招募人数,岗位类型,技能需求,公司地址,工作福利
1,	1631112859985510400,深圳市海柔创新科技有限公司,"['电子商务', '互联网']",会计实习生,"[3500, 7000]",全职,大专,不限,2,"['互联网', '人工智能']",[],广东省深圳市,"['餐饮补贴', '专业培训', '弹性工作']"
2,	1631112859897430016,深圳市海柔创新科技有限公司,"['电子商务', '互联网']",技术服务工程师,"[5000, 10000]",全职,大专,不限,5,"['互联网', '人工智能']",[],广东省深圳市,"['餐饮补贴', '专业培训', '弹性工作']"
3,	1629824814967554048,广州太普软件科技有限公司,"['互联网', '软件']",大数据分析师（BI）,"[4500, 7000]",全职,本科,不限,1,"['互联网', '软件']",[],广东省广州市,"['餐饮补贴', '专业培训', '弹性工作']"
4,	1613439889204969472,广州奇之信息技术有限公司,"['互联网', '数据服务']",自然语言处理工程师,"[2000, 4000]",实习,本科,不限,0,['自然语言'],"['算法研究', '深度学习']",广东省广州市,[]
5,	1613439536044572672,广州奇之信息技术有限公司,"['互联网', '数据服务']",爬虫工程师,"[2000, 4000]",实习,本科,不限,0,"['Python', '爬虫框架']","['Python', '爬虫框架', '数据采集']",广东省广州市,[]
6,	1613439183576236032,广州奇之信息技术有限公司,"['互联网', '数据服务']",Python/django后台开发工程师,"[2000, 4000]",实习,本科,不限,0,"['Python', 'django', '后台开发']","['Python', 'django', '软件系统搭建']",广东省广州市,[]
7,	1613434566444449792,广州奇之信息技术有限公司,"['互联网', '数据服务']",团队运营管理实习生,"[2000, 4000]",实习,本科,不限,0,['运营'],['运营管理'],广东省广州市,[]
8,	1613433907498319872,广州奇之信息技术有限公司,"['互联网', '数据服务']",技术文章撰写实习生,"[2000, 4000]",实习,本科,不限,0,['技术文章撰写'],['技术文章撰写'],广东省广州市,[]
9,	1613431494808829952,广州奇之信息技术有限公司,"['互联网', '数据服务']",创新俱乐部成员,"[2000, 4000]",实习,不限,不限,0,['产品设计'],['产品设计'],广东省广州市,[]
10,	1605028222989369345,武汉软帝联合科技有限公司,"['互联网', '软件']",解决方案,"[30000, 40000]",全职,本科,不限,1,"['互联网', '软件']",[],湖北省武汉市,"['餐饮补贴', '专业培训', '弹性工作']"
11,	1605028222989369344,武汉软帝联合科技有限公司,"['互联网', '软件']",产品总监,"[20000, 35000]",全职,本科,不限,1,"['互联网', '软件']",[],湖北省武汉市,"['餐饮补贴', '专业培训', '弹性工作']"
12,	1605028222985175041,武汉软帝联合科技有限公司,"['互联网', '软件']",大数据架构师,"[25000, 50000]",全职,本科,不限,1,"['互联网', '软件']",[],湖北省武汉市,"['餐饮补贴', '专业培训', '弹性工作']"
13,	1605028222985175040,武汉软帝联合科技有限公司,"['互联网', '软件']",大数据系统分析师,"[25000, 40000]",全职,本科,5-10年,2,"['互联网', '软件']",[],湖北省武汉市,"['餐饮补贴', '专业培训', '弹性工作']"
14,	1604731457065058306,四川中软国际信息技术有限公司,"['互联网', '软件']",AI类数据标注,"[3500, 8000]",全职,大专,不限,30,"['互联网', '软件']",[],四川省宜宾市,"['餐饮补贴', '专业培训', '弹性工作']"
15,	1604731457065058305,四川中软国际信息技术有限公司,"['互联网', '软件']",大数据开发工程师,"[3500, 8000]",全职,本科,不限,20,"['互联网', '软件']",[],四川省宜宾市,"['餐饮补贴', '专业培训', '弹性工作']"
16,	1604731457065058304,四川中软国际信息技术有限公司,"['互联网', '软件']",数据产品经理,"[3500, 8000]",全职,本科,不限,10,"['互联网', '软件']",[],四川省宜宾市,"['餐饮补贴', '专业培训', '弹性工作']"
17,	1604731457060864000,四川中软国际信息技术有限公司,"['互联网', '软件']",数据工程师,"[3500, 8000]",全职,本科,不限,30,"['互联网', '软件']",[],四川省宜宾市,"['餐饮补贴', '专业培训', '弹性工作']"
18,	1603244028852305920,悠易互通（北京）广告有限公司,"['互联网', '广告']",高级大数据开发工程师HadoopHive,"[20000, 35000]",全职,本科,不限,3,"['互联网', '广告']",[],北京市市辖区,"['餐饮补贴', '专业培训', '弹性工作']"
19,	1602499965781934080,中电福富信息科技有限公司,"['互联网', '大数据']",数据标注工程师,"[6000, 8000]",全职,本科,不限,30,"['互联网', '大数据']",[],福建省福州市,"['餐饮补贴', '专业培训', '弹性工作']"
20,	1599949951281004544,广州极能信息技术有限公司,"['互联网', '大数据']",数据挖掘工程师,"[6000, 8000]",全职,本科,不限,3,"['互联网', '大数据']",[],广东省广州市,"['餐饮补贴', '专业培训', '弹性工作']"
21,	1594673737184182272,广东博纳德控股集团有限公司,"['互联网', '大数据']",python工程师,"[4500, 6000]",全职,本科,不限,20,"['互联网', '大数据']",[],广东省广州市,"['餐饮补贴', '专业培训', '弹性工作']"
22,	1588392444226043904,浙江凯普医疗器械有限公司,"['互联网', '软件']",数据实施实习生,"[10000, 15000]",全职,本科,1-3年,2,"['互联网', '软件']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
23,	1585550146098298880,江苏蓝创智能科技股份有限公司,"['互联网', '软件']",数据分析师,"[10000, 15000]",全职,本科,1-3年,2,"['互联网', '软件']",[],江苏省,"['五险一金', '专业培训', '定期体检']"
24,	1582578771930775553,广州市偏爱服饰有限公司,"['互联网', '服饰']",数据产品经理,"[20000, 30000]",全职,本科,3-5年,2,"['互联网', '服饰']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
25,	1582578771930775552,广州市偏爱服饰有限公司,"['互联网', '服饰']",数据分析师,"[7000, 9000]",全职,本科,1-3年,3,"['互联网', '服饰']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
26,	1579049754338394112,深圳市谷乐科技有限公司,"['互联网', '软件']",大数据开发工程师,"[12000, 20000]",全职,本科,1-3年,2,"['互联网', '软件']",[],浙江省杭州市,"['五险一金', '专业培训', '定期体检']"
27,	1578672658197905408,太平鸟集团有限公司,"['互联网', '服饰']",数据分析师,"[12000, 20000]",全职,本科,1-3年,2,"['互联网', '服饰']",[],重庆市,"['五险一金', '专业培训', '定期体检']"
28,	1574966005367701504,南华期货股份有限公司,"['互联网', '金融']",交易风控员,"[6000, 10000]",全职,本科,不限,2,"['互联网', '金融']",[],,"['五险一金', '专业培训', '定期体检']"
29,	1574966005363507200,南华期货股份有限公司,"['互联网', '金融']",大数据开发工程师,"[10000, 15000]",全职,本科,不限,3,"['互联网', '金融']",[],,"['五险一金', '专业培训', '定期体检']"
30,	1574931491241197569,上海派兰数据科技有限公司,"['互联网', '大数据']",数据分析师,"[8000, 15000]",全职,本科,不限,2,"['互联网', '大数据']",[],上海市,"['五险一金', '专业培训', '定期体检']"
31,	1574931491241197568,上海派兰数据科技有限公司,"['互联网', '大数据']",数据工程师,"[10000, 12000]",全职,本科,不限,3,"['互联网', '大数据']",[],上海市,"['五险一金', '专业培训', '定期体检']"
32,	1574928422227017728,上海派兰数据科技有限公司,"['互联网', '大数据']",数据工程师,"[10000, 12000]",全职,本科,不限,3,"['互联网', '大数据']",[],上海市,"['五险一金', '专业培训', '定期体检']"
33,	1574927900380102656,上海派兰数据科技有限公司,"['互联网', '大数据']",数据工程师,"[10000, 12000]",全职,本科,不限,3,"['互联网', '大数据']",[],上海市,"['五险一金', '专业培训', '定期体检']"
34,	1573262184346157058,海尔智家股份有限公司,"['互联网', '家电']",大数据工程师,"[12000, 15000]",全职,本科,不限,3,"['互联网', '家电']",[],山东省青岛市,"['五险一金', '专业培训', '定期体检']"
35,	1573262184346157057,海尔智家股份有限公司,"['互联网', '家电']",数据分析经理,"[9000, 13000]",全职,本科,3-5年,2,"['互联网', '家电']",[],山东省青岛市,"['五险一金', '专业培训', '定期体检']"
36,	1573262184346157056,海尔智家股份有限公司,"['互联网', '家电']",数据分析员,"[7500, 10000]",全职,本科,1-3年,2,"['互联网', '家电']",[],山东省青岛市,"['五险一金', '专业培训', '定期体检']"
37,	1572850247011532801,广东云徙智能科技有限公司,"['互联网', '大数据']",大数据开发实习生,"[4500, 6000]",全职,本科,不限,3,"['互联网', '大数据']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
38,	1572850247011532800,深圳漪畔网络科技有限公司,"['互联网', '大数据']",数仓开发,"[4500, 6000]",全职,本科,不限,2,"['互联网', '大数据']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
39,	1572850247007338496,广东云徙智能科技有限公司,"['互联网', '大数据']",实施工程师,"[3000, 5000]",全职,本科,1-3年,2,"['互联网', '大数据']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
